time,supply,liquidity,ratio
2024-05-25 07:00:00,2757311661.995307,110718698.37990811,0.0401545824166236
2024-05-26 17:00:00,2783385336.06721,110090542.76583605,0.0395527494304431
2024-05-26 23:00:00,2785383307.6752105,109490340.51882108,0.0393088951948254
2024-05-27 00:00:00,2785882803.8932104,109427319.99738266,0.0392792259044279
2024-05-28 04:00:00,2850090296.6040125,106342027.43487936,0.0373118099316326
2024-05-29 00:00:00,2897559230.9833903,104442502.5388074,0.0360449931176596
2024-05-29 10:00:00,2911559652.80139,103375670.69448602,0.0355052559527749
2024-05-29 19:00:00,2925493824.8133907,113306431.39631614,0.0387307026373722
2024-05-30 19:00:00,2964548062.706942,120421204.58586492,0.0406204257912782
2024-05-31 01:00:00,2974597325.8314705,121145805.8064728,0.0407267917423443
2024-06-03 20:00:00,3067401797.922674,121698110.05843388,0.0396746556453253
2024-06-04 07:00:00,3094337226.5996747,121535100.78764609,0.0392766178627529
2024-06-04 16:00:00,3105843124.7836747,120327003.6429428,0.0387421382241653
2024-06-06 11:00:00,3179070500.803875,121467292.64476746,0.0382084299841896
2024-06-07 03:00:00,3227025822.616875,119755575.58189352,0.0371102005885967
2024-06-07 07:00:00,3238442548.597696,119240053.62346973,0.0368201849605461
2024-06-08 08:00:00,3322914683.782026,117697439.43321876,0.0354199402132285
2024-06-08 18:00:00,3337571042.465026,118450754.08862236,0.0354901072011753
2024-06-09 04:00:00,3346682640.611026,119757543.15091573,0.035783955639442
2024-06-10 04:00:00,3386751102.0007257,115840635.1161216,0.0342040591786295
2023-11-27 14:00:00,244552.95767700003,129255.178204,0.5285365567924036
2023-12-12 18:00:00,5172204.213219828,1236960.1591295097,0.2391553210462799
2023-12-15 10:00:00,16165697.040784528,1598525.5902046163,0.0988838022988855
2023-12-15 12:00:00,16516074.864418527,1598525.5902046163,0.096786046522979
2023-12-15 14:00:00,18511040.517358527,1598525.5902046163,0.0863552531639492
2023-12-17 15:00:00,24421823.79395863,1592850.9017256163,0.0652224385518517
2023-12-18 13:00:00,27055433.47435463,1592891.9017256163,0.0588751203426657
2023-12-19 04:00:00,35600260.766804524,1592891.9017256163,0.0447438267983393
2023-12-19 09:00:00,35902308.24281632,1592891.9017256163,0.0443673952925948
2023-12-19 11:00:00,35903025.900708325,1592494.1221666164,0.0443554291655177
2023-12-23 12:00:00,55956726.765962966,1741919.9781888234,0.0311297689994331
2023-12-23 14:00:00,56106702.13516296,1742019.9781888234,0.0310483402498374
2023-12-24 05:00:00,58160166.84681296,1742019.9781888234,0.0299521145249995
2023-12-27 19:00:00,68517679.07576047,1820548.606675639,0.0265704943779932
2024-01-08 14:00:00,111745357.50696447,2046739.0064568748,0.0183160987813682
2024-01-09 23:00:00,116674537.67124732,2052900.6793225808,0.0175951044700688
2024-01-11 17:00:00,116971116.8951014,2133295.80069991,0.018237799700699
2024-01-13 15:00:00,118069713.95323142,2236819.069218324,0.0189449012310163
2024-01-14 13:00:00,118145760.12584342,2193517.0190433236,0.0185661932912945
2024-01-15 22:00:00,122485323.00395145,2167342.947508215,0.017694715532883
2024-01-16 14:00:00,123659448.5524794,2158646.677201215,0.0174563828520156
2024-01-18 11:00:00,125610529.53557838,1668181.2022850877,0.0132805841075017
2024-01-24 00:00:00,131400789.19290067,2012229.1102632815,0.0153136759879673
2024-02-06 08:00:00,158287089.97846606,4666435.727057432,0.0294808359146173
2024-02-10 02:00:00,209737108.5815611,5213817.763962851,0.02485882350159
2024-02-13 22:00:00,225064149.3956581,7012318.6659527095,0.0311569776207458
2024-02-17 08:00:00,234466691.4432581,36896738.064188585,0.1573645187598757
2024-02-17 10:00:00,234966160.6802581,37170338.07186529,0.1581944309097627
2024-02-17 21:00:00,237538795.9143581,39471911.706371754,0.1661703788403596
2024-02-19 13:00:00,260348866.91853404,60656538.78953421,0.2329817659952186
2024-02-19 15:00:00,265002908.0773487,64460428.8490518,0.2432442319849455
2024-02-19 17:00:00,266956965.46704873,73743584.25544968,0.2762377229095079
2024-02-19 20:00:00,274080333.8596803,72852454.7817755,0.2658069397240061
2024-02-20 11:00:00,298475164.8372303,72821608.65566652,0.2439787869633269
2024-02-20 13:00:00,308797721.97023034,73439956.40694568,0.2378254474753724
2024-02-20 18:00:00,321895772.7336691,73715709.61765176,0.2290049011567568
2024-02-21 09:00:00,342191150.39501786,74124041.67287078,0.2166158931559265
2024-02-22 07:00:00,383730128.7512163,75017337.4450954,0.1954950415001981
2024-03-02 16:00:00,655963148.0459082,89414793.41810346,0.1363106962402797
2024-03-03 14:00:00,695078495.5885417,89306249.03293972,0.1284836886765166
2024-03-04 08:00:00,759645970.7866423,88001431.08903444,0.1158453206799815
2024-03-05 04:00:00,782355508.2772609,88227409.22156447,0.1127715064163609
2024-03-06 15:00:00,822673158.7115575,88306698.92911175,0.1073411694474324
2024-03-07 13:00:00,831173508.1715574,88007683.46215603,0.1058836483561154
2024-03-08 04:00:00,836743362.6105573,90059182.53246802,0.1076305908797318
2024-03-09 07:00:00,843560682.3445572,92167268.0690906,0.1092597960029677
2024-03-10 05:00:00,852961502.2345573,92897950.83869772,0.1089122435131328
2024-03-10 18:00:00,863459728.1725571,91147082.4725954,0.1055603168262414
2024-03-11 00:00:00,868638983.9825572,89839945.84286039,0.103426103939015
2024-03-11 16:00:00,885622950.5965569,89823972.21637772,0.1014246211165509
2024-03-11 23:00:00,900865238.0696929,89871536.35208134,0.0997613544781141
2024-03-12 10:00:00,922541309.3276927,90342567.97264685,0.0979279378161228
2024-03-13 01:00:00,960442803.3366928,89163101.58074848,0.0928354101576744
2024-03-13 08:00:00,973493622.2076678,91306931.81422453,0.093793045718328
2024-03-13 21:00:00,1000233920.7472008,91652237.07112227,0.0916308027252821
2024-03-14 02:00:00,1005310183.8192008,92647489.85051934,0.0921581133283152
2024-03-14 19:00:00,1050440495.9918512,87687676.03579193,0.0834770521227812
